,Title,Link,Year,Season
73,Koukaku Kidoutai: Stand Alone Complex 2nd GIG - Individual Eleven - Tachikoma no Hibi,10948/Koukaku-Kidoutai-Stand-Alone-Complex-2nd-GIG--Individual-Eleven--Tachikoma-no-Hibi,2006,Winter
74,Neko Ramen,3535/Neko-Ramen,2006,Winter
75,Mai-Otome Specials,1659/MaiOtome-Specials,2006,Winter
76,Makai Senki Disgaea: Welcome to Netherworld,6741/Makai-Senki-Disgaea-Welcome-to-Netherworld,2006,Winter
77,ToHeart: Remember my memories - Heart Fighters,686/ToHeart-Remember-my-memories--Heart-Fighters,2006,Winter
78,Ginga Tetsudou Monogatari: Wasurerareta Toki no Wakusei,3854/Ginga-Tetsudou-Monogatari-Wasurerareta-Toki-no-Wakusei,2006,Winter
79,Jinki:Extend - Sorekara,848/JinkiExtend--Sorekara,2006,Winter
80,Ankoku Cat,6721/Ankoku-Cat,2006,Winter
81,Koi Koi 7 Specials,2910/Koi-Koi-7-Specials,2006,Winter
82,Catblue: Dynamite,1828/Catblue-Dynamite,2006,Winter
83,Gunparade Orchestra OVA,9445/Gunparade-Orchestra-OVA,2006,Winter
84,Tetsuro no Kanata,7982/Tetsuro-no-Kanata,2006,Winter
85,Sore Ike! Anpanman: Utaou! Odorou! Minna no Christmas,17006/Sore-Ike-Anpanman-Utaou-Odorou-Minna-no-Christmas,2006,Winter
86,Hoshi no Oujisama Petit Prince Specials,126318/Hoshi-no-Oujisama-Petit-Prince-Specials,2006,Winter
87,Happy Seven: The TV Manga - Chibi Chara Moshimo Gekijou,129867/Happy-Seven-The-TV-Manga--Chibi-Chara-Moshimo-Gekijou,2006,Winter
88,Gintama,918/Gintama,2006,Spring
89,Ouran Koukou Host Club,853/Ouran-Koukou-Host-Club,2006,Spring
90,BLACK LAGOON,889/BLACK-LAGOON,2006,Spring
91,Suzumiya Haruhi no Yuuutsu,849/Suzumiya-Haruhi-no-Yuuutsu,2006,Spring
92,Higurashi no Naku Koro ni,934/Higurashi-no-Naku-Koro-ni,2006,Spring
93,NANA,877/NANA,2006,Spring
94,xxxHOLiC,861/xxxHOLiC,2006,Spring
95,Air Gear,857/Air-Gear,2006,Spring
96,Utawarerumono,856/Utawarerumono,2006,Spring
97,Strawberry Panic,855/Strawberry-Panic,2006,Spring
98,School Rumble Ni Gakki,846/School-Rumble-Ni-Gakki,2006,Spring
99,ARIA The NATURAL,962/ARIA-The-NATURAL,2006,Spring
100,Witchblade,935/Witchblade,2006,Spring
101,Digimon Savers,859/Digimon-Savers,2006,Spring
102,Tsubasa Chronicle 2nd Season,969/Tsubasa-Chronicle-2nd-Season,2006,Spring
103,Saiunkoku Monogatari,957/Saiunkoku-Monogatari,2006,Spring
104,.hack//Roots,873/hackRoots,2006,Spring
105,Juu Ou Sei,953/Juu-Ou-Sei,2006,Spring
106,KIBA,845/KIBA,2006,Spring
107,Inukami!,940/Inukami,2006,Spring
108,Simoun,879/Simoun,2006,Spring
109,Oban Star-Racers,1212/Oban-StarRacers,2006,Spring
110,Aa! Megami-sama!: Sorezore no Tsubasa,880/Aa-Megamisama-Sorezore-no-Tsubasa,2006,Spring
111,Princess Princess,907/Princess-Princess,2006,Spring
112,Gakuen Heaven,850/Gakuen-Heaven,2006,Spring
113,Shinigami no Ballad.,789/Shinigami-no-Ballad,2006,Spring
114,Zegapain,878/Zegapain,2006,Spring
115,Renkin San-kyuu Magical? Pokaan,941/Renkin-Sankyuu-Magical-Pokaan,2006,Spring
116,Kamisama Kazoku,990/Kamisama-Kazoku,2006,Spring
117,Makai Senki Disgaea,860/Makai-Senki-Disgaea,2006,Spring
118,Joshikousei,863/Joshikousei,2006,Spring
119,Tokkou,916/Tokkou,2006,Spring
120,Kirarin☆Revolution,1516/KirarinRevolution,2006,Spring
121,Kishin Houkou Demonbane (2006),1067/Kishin-Houkou-Demonbane-2006,2006,Spring
122,Himawari!,910/Himawari,2006,Spring
123,The Third: Aoi Hitomi no Shoujo,944/The-Third-Aoi-Hitomi-no-Shoujo,2006,Spring
124,Soul Link,854/Soul-Link,2006,Spring
125,Nishi no Yoki Majo: Astraea Testament,942/Nishi-no-Yoki-Majo-Astraea-Testament,2006,Spring
126,RAY THE ANIMATION,919/RAY-THE-ANIMATION,2006,Spring
127,Black Jack 21,2214/Black-Jack-21,2006,Spring
128,Glass no Kantai: La legende du vent de l'univers,20562/Glass-no-Kantai-La-legende-du-vent-de-lunivers,2006,Spring
129,Yume Tsukai,943/Yume-Tsukai,2006,Spring
130,Spider Riders: Oracle no Yuusha-tachi,2619/Spider-Riders-Oracle-no-Yuushatachi,2006,Spring
131,Sasami☆Mahou Shoujo Club,1881/SasamiMahou-Shoujo-Club,2006,Spring
132,IGPX Immortal Grand Prix 2,1410/IGPX-Immortal-Grand-Prix-2,2006,Spring
133,MUSASHI: GUN-dou,1200/MUSASHI-GUNdou,2006,Spring
134,Love Get Chu,1070/Love-Get-Chu,2006,Spring
135,Fushigiboshi no☆Futagohime Gyu!,1886/Fushigiboshi-noFutagohime-Gyu,2006,Spring
136,Onegai My Melody: Kuru Kuru Shuffle!,4114/Onegai-My-Melody-Kuru-Kuru-Shuffle,2006,Spring
137,Yoshinaga-sanchi no Gargoyle,965/Yoshinagasanchi-no-Gargoyle,2006,Spring
138,Bakegyamon,2786/Bakegyamon,2006,Spring
139,Hime-sama Goyoujin,1884/Himesama-Goyoujin,2006,Spring
140,Fighting Beauty Wulong Rebirth,968/Fighting-Beauty-Wulong-Rebirth,2006,Spring
141,Ring ni Kakero 1: Nichibei Kessen-hen,1771/Ring-ni-Kakero-1-Nichibei-Kessenhen,2006,Spring
142,Yoshimune,2024/Yoshimune,2006,Spring
143,Shinseiki Duel Masters Flash,10525/Shinseiki-Duel-Masters-Flash,2006,Spring
144,Cofun Gal no Coffy,13503/Cofun-Gal-no-Coffy,2006,Spring
145,Tama & Friends: Sagase! Mahou no Punipuni Stone,131957/Tama--Friends-Sagase-Mahou-no-Punipuni-Stone,2006,Spring
146,Chuntian Huahua Zhonghua Bowuguan,9821/Chuntian-Huahua-Zhonghua-Bowuguan,2006,Spring
147,Rockman.EXE Beast+,2713/RockmanEXE-Beast,2006,Spring
148,Tottoko Hamtaro Hai!,13679/Tottoko-Hamtaro-Hai,2006,Spring
149,Himitsu Kessha Taka no Tsume,4737/Himitsu-Kessha-Taka-no-Tsume,2006,Spring
150,Hello Kitty: Ringo no Mori no Fantasy,11521/Hello-Kitty-Ringo-no-Mori-no-Fantasy,2006,Spring
151,Saru Getchu: On Air,1872/Saru-Getchu-On-Air,2006,Spring
152,Akubi Girl,6077/Akubi-Girl,2006,Spring
153,Zenmai Zamurai,5821/Zenmai-Zamurai,2006,Spring
154,Miracle! Mimika,5374/Miracle-Mimika,2006,Spring
155,Shibawanko no Wa no Kokoro,1739/Shibawanko-no-Wa-no-Kokoro,2006,Spring
156,Poka Poka Mori no Rascal,17613/Poka-Poka-Mori-no-Rascal,2006,Spring
157,Fate/stay night,356/Fatestay-night,2006,Spring
