Unnamed: 0,Title,Link,Year,Season,Format,Episodes,EpisodeDuration,Status,Popularity,MeanScore,Favorites,Studios,Source,Genre,Completed,Planning,Current,Dropped
31,31,BLOOD+,150/BLOOD,2006,Winter,TV,50,24 mins,Finished,40928,71%,551,Production I.G,Original,"Action,Drama,Horror,Mystery,Supernatural",18768,16380,2083,2017
32,32,Black Cat,68/Black-Cat,2006,Winter,TV,23,24 mins,Finished,28805,69%,339,GONZO,Manga,"Adventure,Comedy,Sci-Fi",15641,9567,1289,1269
33,33,Touhai Densetsu Akagi: Yami ni Maiorita Tensai,658/Touhai-Densetsu-Akagi-Yami-ni-Maiorita-Tensai,2006,Winter,TV,26,23 mins,Finished,19933,77%,395,MADHOUSE,Manga,"Psychological,Sports,Thriller",8912,8799,883,766
34,34,Karin,469/Karin,2006,Winter,TV,24,23 mins,Finished,18748,67%,193,J.C. Staff,Manga,"Comedy,Romance,Supernatural",11594,5122,870,621
35,35,Noein: Mou Hitori no Kimi e,584/Noein-Mou-Hitori-no-Kimi-e,2006,Winter,TV,24,25 mins,Finished,16194,71%,159,Satelight,Original,"Adventure,Drama,Psychological,Sci-Fi,Slice of Life",10347,4180,620,567
36,36,Mai-Otome,99/MaiOtome,2006,Winter,TV,26,24 mins,Finished,5868,68%,57,Sunrise,Original,"Comedy,Drama,Fantasy",3257,2084,206,164
37,37,capeta,388/capeta,2006,Winter,TV,52,23 mins,Finished,4362,75%,82,Studio Comet,Manga,"Drama,Sports",1949,1918,180,164
38,38,Solty Rei,152/Solty-Rei,2006,Winter,TV,24,23 mins,Finished,4097,68%,36,NaN,Original,"Action,Sci-Fi",1902,1666,205,173
39,39,Idaten Jump,1316/Idaten-Jump,2006,Winter,TV,52,20 mins,Finished,3305,69%,100,NaN,Manga,"Adventure,Mystery,Sports,Supernatural",2408,607,127,107
40,40,Canvas 2: Niji-iro no Sketch,694/Canvas-2-Nijiiro-no-Sketch,2006,Winter,TV,24,24 mins,Finished,3248,62%,9,NaN,Visual Novel,"Comedy,Drama,Romance,Slice of Life",1560,1281,170,133
41,41,Angel Heart,282/Angel-Heart,2006,Winter,TV,50,23 mins,Finished,2673,66%,25,NaN,Manga,"Action,Romance",1554,713,153,128
42,42,Sonic X Season 2,129610/Sonic-X-Season-2,2006,Winter,TV,26,25 mins,Finished,1922,67%,40,TMS Entertainment,Video Game,"Action,Adventure,Comedy,Fantasy,Mecha,Sci-Fi",1505,315,56,25
43,43,Ginga Densetsu Weed,915/Ginga-Densetsu-Weed,2006,Winter,TV,26,24 mins,Finished,1922,67%,43,NaN,Manga,"Adventure,Drama",995,702,92,70
44,44,Rockman.EXE BEAST,2110/RockmanEXE-BEAST,2006,Winter,TV,25,25 mins,Finished,1463,66%,11,NaN,Video Game,"Action,Adventure,Mecha,Sci-Fi",878,422,67,51
