,Title,Year,Season,Format,Episodes,EpisodeDuration,Status,Popularity,MeanScore,Favorites,Studios,Source,Genre,Completed,Planning,Current,Dropped
10,Yomigaeru Sora: Rescue Wings,2006,Winter,TV,12.0,23.0,Finished,2786.0,70.0,21.0,J.C. Staff,Original,Drama,1678.0,890.0,79.0,76.0
11,Lemon Angel Project,2006,Winter,TV,13.0,20.0,Finished,1438.0,57.0,1.0,Radix,Other,Drama,700.0,537.0,82.0,60.0
11,Lemon Angel Project,2006,Winter,TV,13.0,20.0,Finished,1438.0,57.0,1.0,Radix,Other,Music,700.0,537.0,82.0,60.0
12,Tactical Roar,2006,Winter,TV,13.0,25.0,Finished,1402.0,58.0,1.0,,Original,Comedy,636.0,577.0,81.0,63.0
12,Tactical Roar,2006,Winter,TV,13.0,25.0,Finished,1402.0,58.0,1.0,,Original,Romance,636.0,577.0,81.0,63.0
12,Tactical Roar,2006,Winter,TV,13.0,25.0,Finished,1402.0,58.0,1.0,,Original,Sci-Fi,636.0,577.0,81.0,63.0
13,Nerima Daikon Brothers,2006,Winter,TV,12.0,24.0,Finished,1371.0,65.0,16.0,Studio Hibari,Original,Comedy,710.0,476.0,84.0,60.0
13,Nerima Daikon Brothers,2006,Winter,TV,12.0,24.0,Finished,1371.0,65.0,16.0,Studio Hibari,Original,Music,710.0,476.0,84.0,60.0
14,Kagihime Monogatari: Eikyuu Alice Rinbukyoku,2006,Winter,TV,13.0,24.0,Finished,1351.0,53.0,6.0,,Manga,Action,694.0,440.0,94.0,64.0
14,Kagihime Monogatari: Eikyuu Alice Rinbukyoku,2006,Winter,TV,13.0,24.0,Finished,1351.0,53.0,6.0,,Manga,Drama,694.0,440.0,94.0,64.0
14,Kagihime Monogatari: Eikyuu Alice Rinbukyoku,2006,Winter,TV,13.0,24.0,Finished,1351.0,53.0,6.0,,Manga,Fantasy,694.0,440.0,94.0,64.0
14,Kagihime Monogatari: Eikyuu Alice Rinbukyoku,2006,Winter,TV,13.0,24.0,Finished,1351.0,53.0,6.0,,Manga,Mahou Shoujo,694.0,440.0,94.0,64.0
